City,Firm name,Practice areas,Practice area buckets,Address,Phone,Website,Google rating,Review count,Google Maps URL,Has website (Y/N),Notes
Bartow,Wilson Jr Donald H,General/Unspecified,General,"245 S Central Ave, Bartow, FL 33830",(863) 533-7117,http://www.bosdun.com/,5,1,https://www.google.com/maps/search/?api=1&query=Wilson%20Jr%20Donald%20H&query_place_id=ChIJ3bbhwL8X3YgRvh5jWD1306A,Y,
Haines City,Abrahamson & Uiterwyk Car Accident and Personal Injury Lawyers,"Personal Injury, Civil Litigation, Elder Law, Insurance","Personal Injury, General, Estate/Probate","651 E Main St Ste d, Haines City, FL 33844",(863) 400-1733,https://www.theinjurylawyers.com/haines-city-car-accident-lawyer/?utm_medium=organic&utm_source=gmb&utm_campaign=website&utm_term=hainescity,5,29,https://www.google.com/maps/search/?api=1&query=Abrahamson%20%26%20Uiterwyk%20Car%20Accident%20and%20Personal%20Injury%20Lawyers&query_place_id=ChIJO44MlRFz3YgRooKUjDUHwfo,Y,Multi-branch: 3 Polk County locations for this firm
Haines City,Aponte & Associates-Abogados,General/Unspecified,General,"1920 Verano Dr, Haines City, FL 33844",(863) 438-7451,,,,https://www.google.com/maps/search/?api=1&query=Aponte%20%26%20Associates-Abogados&query_place_id=ChIJ5Y-zXHRz3YgRQAhZLxsgcEo,N,
Haines City,Brandon Family Law Center LLC,Family Law,Family/Divorce,"619 E Lumsden Rd, Haines City, FL 33844",(863) 588-4444,,,,https://www.google.com/maps/search/?api=1&query=Brandon%20Family%20Law%20Center%20LLC&query_place_id=ChIJxXCv3Oxz3YgRTfTWXs6fpEY,N,
Haines City,Dynamic Pro Advisors,General/Unspecified,General,"651 E Main St Ste 3, Haines City, FL 33844",(689) 318-1362,http://dynamicproadvisors.net/,4.9,34,https://www.google.com/maps/search/?api=1&query=Dynamic%20Pro%20Advisors&query_place_id=ChIJMXLM9HRz3YgRIFqj9EAXnhM,Y,
Haines City,Feddeler III Carl A,General/Unspecified,General,"Haines City, FL 33844",(863) 688-7766,http://www.all-injuries.com/,,,https://www.google.com/maps/search/?api=1&query=Feddeler%20III%20Carl%20A&query_place_id=ChIJxXCv3Oxz3YgRn_Fo-Z5uKgo,Y,
Haines City,Fred Reilly,General/Unspecified,General,"33 N 6th St, Haines City, FL 33844",(863) 242-5467,,1,2,https://www.google.com/maps/search/?api=1&query=Fred%20Reilly&query_place_id=ChIJMan7Cb5z3YgR6ydnHoRY4X0,N,
Haines City,Haff Tula Michele,General/Unspecified,General,"135 N 6th St Second Floor, Haines City, FL 33844",(863) 421-2626,,3.8,6,https://www.google.com/maps/search/?api=1&query=Haff%20Tula%20Michele&query_place_id=ChIJo45qFr5z3YgRGdXGFlxjQ2I,N,
Haines City,Howell & Thornhill - Haines City,"Personal Injury, Civil Litigation, Insurance","Personal Injury, General","135 N 6th St Ste C, Haines City, FL 33844",(863) 293-3166,https://howellthornhill.com/office-locations/howell-thornhill-haines-city/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-website-haines-city,4.9,39,https://www.google.com/maps/search/?api=1&query=Howell%20%26%20Thornhill%20-%20Haines%20City&query_place_id=ChIJxxOHdb5z3YgR_fmHlMNWsmY,Y,
Haines City,Humphries Kevin,General/Unspecified,General,"19 N 6th St, Haines City, FL 33844",(863) 422-1020,,5,1,https://www.google.com/maps/search/?api=1&query=Humphries%20Kevin&query_place_id=ChIJgbBt5L1z3YgROMYeSRjuDW0,N,
Haines City,Kennedy Law Group,General/Unspecified,General,"Haines City, FL 33844",(863) 422-2277,http://www.kennedylawgroup.com/,,,https://www.google.com/maps/search/?api=1&query=Kennedy%20Law%20Group&query_place_id=ChIJxXCv3Oxz3YgRG0Dbnl_4R3M,Y,
Haines City,Lasseigne and Ladner,General/Unspecified,General,"105 McKay Dr #4000, Haines City, FL 33844",(863) 422-2216,http://www.lasseigneandladner.com/,4,48,https://www.google.com/maps/search/?api=1&query=Lasseigne%20and%20Ladner&query_place_id=ChIJQ9Wmcrpz3YgR6jP3gAYdl-A,Y,
Haines City,Lopez Melodie,General/Unspecified,General,"19 N 6th St, Haines City, FL 33844",(863) 422-1020,,,,https://www.google.com/maps/search/?api=1&query=Lopez%20Melodie&query_place_id=ChIJgbBt5L1z3YgRRyIfdXcPa14,N,Multi-branch: 2 Polk County locations for this firm
Haines City,Nettleton Robert C,General/Unspecified,General,"702 E Main St, Haines City, FL 33844",(863) 422-6484,,5,1,https://www.google.com/maps/search/?api=1&query=Nettleton%20Robert%20C&query_place_id=ChIJ34of4b1z3YgRlyo-vRjGIHQ,N,
Haines City,"Smith Feddeler & Smith, P.A.",General/Unspecified,General,"Haines City, FL 33844",(863) 420-6868,,,,https://www.google.com/maps/search/?api=1&query=Smith%20Feddeler%20%26%20Smith%2C%20P.A.&query_place_id=ChIJxXCv3Oxz3YgRAAZkX66x5fQ,N,
Haines City,"The Law Firm of Gil Colón, Jr.",Criminal Defense,Criminal/DUI,"95 S 10th St, Haines City, FL 33844",(863) 534-3777,https://www.gilcolonjr.com/,3,4,https://www.google.com/maps/search/?api=1&query=The%20Law%20Firm%20of%20Gil%20Col%C3%B3n%2C%20Jr.&query_place_id=ChIJMQpRV5Zz3YgROH65DNrFfmM,Y,Multi-branch: 2 Polk County locations for this firm
Haines City,"The Law Offices of Markeishia L Smith, PA",Civil Litigation,General,"408 S 10th St, Haines City, FL 33844",(863) 866-9917,https://www.thesmithlawfirm.org/,4.7,28,https://www.google.com/maps/search/?api=1&query=The%20Law%20Offices%20of%20Markeishia%20L%20Smith%2C%20PA&query_place_id=ChIJDeHMRdFz3YgRBqbOLT8V5LA,Y,
Haines City,Tropical Multi Services LLC,Tax,Business,"39 N 11th St, Haines City, FL 33844",(863) 353-5449,https://www.tropicalmultiservices.com/,4.9,436,https://www.google.com/maps/search/?api=1&query=Tropical%20Multi%20Services%20LLC&query_place_id=ChIJYaATzdJz3YgRBCH8SJow-Gg,Y,
Lake Wales,Abogada De la Fe/Lilly & Brown LLP,Immigration,Immigration,"815 FL-60 Ste b, Lake Wales, FL 33853",(863) 294-8114,http://www.abogadadelafe.com/,,,https://www.google.com/maps/search/?api=1&query=Abogada%20De%20la%20Fe%2FLilly%20%26%20Brown%20LLP&query_place_id=ChIJ6VlHwbgJ3YgR3Oz7HBfh3Es,Y,
Lake Wales,"Albert C. Galloway, Jr., PA",General/Unspecified,General,"116 E Stuart Ave, Lake Wales, FL 33853",(863) 679-5333,http://www.acgpa.net/,3.3,3,https://www.google.com/maps/search/?api=1&query=Albert%20C.%20Galloway%2C%20Jr.%2C%20PA&query_place_id=ChIJlUfqptgI3YgRq1hicuSWQGI,Y,
Lake Wales,D. Andrew Hunt P. A.,Estate Planning,Estate/Probate,"225 E Park Ave, Lake Wales, FL 33853",(863) 676-1423,http://dahuntlaw.com/,3.4,27,https://www.google.com/maps/search/?api=1&query=D.%20Andrew%20Hunt%20P.%20A.&query_place_id=ChIJOaCeTycJ3YgRw8CsYvOL21s,Y,
Lake Wales,Duke Samuel E,General/Unspecified,General,"100 S Scenic Hwy #107, Lake Wales, FL 33853",(863) 676-9461,,5,2,https://www.google.com/maps/search/?api=1&query=Duke%20Samuel%20E&query_place_id=ChIJIYCdPN8I3YgRdvghu-pOc5Y,N,
Lake Wales,Elizabeth A Stewart Pa: Stewart Elizabeth A,Family Law,Family/Divorce,"2 N 1st St #100, Lake Wales, FL 33853",(863) 676-4525,,4.8,12,https://www.google.com/maps/search/?api=1&query=Elizabeth%20A%20Stewart%20Pa%3A%20Stewart%20Elizabeth%20A&query_place_id=ChIJf35jfNgI3YgRJHqfRSp8cLg,N,
Lake Wales,Howell & Thornhill - Lake Wales,"Civil Litigation, General Practice, Insurance, Personal Injury","General, Personal Injury","2 S 1st St Ste 211, Lake Wales, FL 33853",(863) 293-3166,https://howellthornhill.com/office-locations/howell-thornhill-lake-wales/?utm_source=gbp&utm_medium=organic&utm_campaign=gmb-website-lake-wales,5,8,https://www.google.com/maps/search/?api=1&query=Howell%20%26%20Thornhill%20-%20Lake%20Wales&query_place_id=ChIJK-qMX94I3YgRG2Ff8O6Q8pM,Y,
Lake Wales,"JAY MCCLENDON, P.A.",General/Unspecified,General,"219 E Central Ave, Lake Wales, FL 33853",(863) 232-5200,https://jaymcclendon.com/,3.4,18,https://www.google.com/maps/search/?api=1&query=JAY%20MCCLENDON%2C%20P.A.&query_place_id=ChIJm9uartgI3YgRXlZRisyDeNE,Y,
Lake Wales,Kaylor Law Group: Rayes Matthew,General/Unspecified,General,"225 E Park Ave, Lake Wales, FL 33853",(863) 678-3300,,2,1,https://www.google.com/maps/search/?api=1&query=Kaylor%20Law%20Group%3A%20Rayes%20Matthew&query_place_id=ChIJOaCeTycJ3YgRASJQVgDw57Q,N,
Lake Wales,Law Office of Irene E. Pearce,General/Unspecified,General,"132 W Central Ave #1, Lake Wales, FL 33853",(407) 402-0159,,,,https://www.google.com/maps/search/?api=1&query=Law%20Office%20of%20Irene%20E.%20Pearce&query_place_id=ChIJ67gT8NcI3YgR2awM_jANies,N,
Lake Wales,"Law Offices of A.M. Stuckey, P.A","General Practice, Personal Injury","General, Personal Injury","37 W Central Ave, Lake Wales, FL 33853",(863) 676-6412,,3.5,13,https://www.google.com/maps/search/?api=1&query=Law%20Offices%20of%20A.M.%20Stuckey%2C%20P.A&query_place_id=ChIJifCkqWsJ3YgRhyyMeqCz8nA,N,
Lake Wales,"Lilly & Brown, LLP",General/Unspecified,General,"815 FL-60 Ste b, Lake Wales, FL 33853",(863) 676-1991,http://www.lillybrownlaw.com/?utm_source=GMB&utm_medium=organic&utm_campaign=LakeWales,5,25,https://www.google.com/maps/search/?api=1&query=Lilly%20%26%20Brown%2C%20LLP&query_place_id=ChIJAQAAACQJ3YgRSjZf38SVPAU,Y,Multi-branch: 2 Polk County locations for this firm
Lake Wales,Martin Joe T,General/Unspecified,General,"416 S 1st St, Lake Wales, FL 33853",(863) 676-6085,,5,1,https://www.google.com/maps/search/?api=1&query=Martin%20Joe%20T&query_place_id=ChIJfUL-LNoI3YgRzi7WB7Zllyw,N,
Lake Wales,Mc Kinley Law Firm,General/Unspecified,General,"33 W Service Road 60, Lake Wales, FL 33853",(863) 578-5951,http://www.mckinleylaw.net/,3,4,https://www.google.com/maps/search/?api=1&query=Mc%20Kinley%20Law%20Firm&query_place_id=ChIJq6qqqh4J3YgRvbmh95zsbjs,Y,
Lake Wales,McKinley Law Firm,General/Unspecified,General,"33 FL-60, Lake Wales, FL 33853",(863) 678-9776,https://www.mckinleylaw.net/,5,2,https://www.google.com/maps/search/?api=1&query=McKinley%20Law%20Firm&query_place_id=ChIJP-e-u_gI3YgRw2DXpkIl63I,Y,Multi-branch: 2 Polk County locations for this firm
Lake Wales,Michael T. Gallaher,Civil Litigation,General,"100 W Stuart Ave, Lake Wales, FL 33853",(863) 676-7611,http://www.petersonmyers.com/,3,2,https://www.google.com/maps/search/?api=1&query=Michael%20T.%20Gallaher&query_place_id=ChIJf35jfNgI3YgRelsUIglggc4,Y,
Lake Wales,Myers III C B,General/Unspecified,General,"Lake Wales, FL 33853",(863) 679-5337,,5,1,https://www.google.com/maps/search/?api=1&query=Myers%20III%20C%20B&query_place_id=ChIJlUfqptgI3YgRWHcHG47Y4bM,N,
Lake Wales,Ouellette Law Firm PA,Personal Injury,Personal Injury,"151 E Central Ave, Lake Wales, FL 33853",(863) 676-2455,,3.8,24,https://www.google.com/maps/search/?api=1&query=Ouellette%20Law%20Firm%20PA&query_place_id=ChIJDesBWScJ3YgRTYq8G93w3rc,N,
