business_name,document_number,entity_type,filing_date,status,principal_address,mailing_address,city,state,zip,registered_agent,officer_name,officer_title,fei_number
BARRL TECHNOLOGIES LLC,L26000467475,Florida Limited Liability Company,09/04/2026,Active,"109 FAIRHAVEN DR, AUBURNDALE, FL 33823","109 FAIRHAVEN DR, AUBURNDALE, FL 33823",AUBURNDALE,FL,33823,SMITH JEREMY,JEREMY SMITH,MGR,
FIELDSMITH TECHNOLOGIES LLC,L26000467575,Florida Limited Liability Company,09/04/2026,Active,"7 EL RECODO, LAKELAND, FL 33813","7 EL RECODO, LAKELAND, FL 33813",LAKELAND,FL,33813,MURPHY ADAM,ADAM MURPHY,O,
SPEEDWAY EXPRESS DELIVERY LLC,L26000465526,Florida Limited Liability Company,09/03/2026,Active,"3680 OLD TAMPA HWY, LAKELAND, FL 33811","3680 OLD TAMPA HIGHWAY, LAKELAND, FL 33811",LAKELAND,FL,33811,SULLIVAN VARONIQUE,VARONIQUE SULLIVAN,AMBR,
COTTON & HIDE HAT CO LLC,L26000465556,Florida Limited Liability Company,09/01/2026,Active,"4216 CARROLL RD, AUBURNDALE, FL 33823","4216 CARROLL RD, AUBURNDALE, FL 33823",AUBURNDALE,FL,33823,PORN BRITTANY,BRITTANY M PORN,PRES,
FIBER SPECIALIST SERVICE LLC,L26000466206,Florida Limited Liability Company,09/03/2026,Active,"235 KILMER LN, WINTER HAVEN, FL 33884","235 KILMER LN, WINTER HAVEN, FL 33884",WINTER HAVEN,FL,33884,DAVILA ANA L,ANA L DAVILA,MGR,
BIN7 DUMPSTER RENTAL LLC,L26000466416,Florida Limited Liability Company,09/08/2026,Active,"238 N MASSACHUSETTS AVE, LAKLEAND, FL 33801","238 N MASSACHUSETTS AVE, LAKLEAND 33801",LAKLEAND,FL,33801,HYLTON RAYKEION,,,
ROMERO ESTEVEZ BEHAVIOR THERAPY LLC,L26000466536,Florida Limited Liability Company,09/03/2026,Active,"5845 ARLINGTON RIVER DR, LAKELAND, FL 33811","5845 ARLINGTON RIVER DR, LAKELAND, FL 33811",LAKELAND,FL,33811,ROMERO ESTEVEZ YUNAISY,YUNAISY ROMERO ESTEVEZ,MGR,
"HAIR-OLOJAY7, LLC",L26000466836,Florida Limited Liability Company,09/04/2026,Active,"164 WHIRLAWAY DR, DAVENPORT, FL 33837","164 WHIRLAWAY DR, DAVENPORT, FL 33837",DAVENPORT,FL,33837,INC AUTHORITY RA,OJEMAH RAIFORD,MGR,
AXPENPROJ LLC,L26000467116,Florida Limited Liability Company,09/04/2026,Active,"5214 DISMUKE DRIVE, LAKELAND, FL 33812","5214 DISMUKE DRIVE, LAKELAND, FL 33812",LAKELAND,FL,33812,LAM KEVIN A,KEVIN A LAM,AMBR,
BRIET&STEVENS LLC,L26000466637,Florida Limited Liability Company,09/04/2026,Active,"3451 AVENUE O NW, WINTER HAVEN, FL 33881","3451 AVENUE O NW, WINTER HAVEN, FL 33881",WINTER HAVEN,FL,33881,NORTHWEST REGISTERED AGENT LLC,CARMEN RIVERA,MBR,
TEHUINTLE CONSTRUCTION SERVICES INC,P26000044418,Domestic Profit Corporation,09/04/2026,Active,"4667 TURNER RD., MULBERRY, FL 33860","4667 TURNER RD., MULBERRY, FL 33860",MULBERRY,FL,33860,TEHUINTLE GARCIA ANASTACIO,ANASTACIO TEHUINTLE GARCIA,P,
"KS FLORIDA PROPERTY GROUP, LLC",L26000467218,Florida Limited Liability Company,09/04/2026,Active,"132 COMMONWEALTH AVE SW, POLK CITY, FL 33868","P O BOX 1246, POLK CITY, FL 33868",POLK CITY,FL,33868,BUTCHER SHANNAH,SHANNAH M BUTCHER,MGR,
MZM TRANS LLC,L26000465759,Florida Limited Liability Company,09/03/2026,Active,"1611 HORIZON COURT, HAINES CITY, FL 33844","1611 HORIZON COURT, HAINES CITY, FL 33844",HAINES CITY,FL,33844,CHARLES MICHAELLE,MICHAELLE CHARLES,AMBR,
WHICKED WHIPPED SISTERS! LLC,L26000465929,Florida Limited Liability Company,09/03/2026,Active,"703 NE 11TH AVE, MULBERRY, FL 33860","703 NE 11TH AVE, MULBERRY, FL 33860",MULBERRY,FL,33860,TAYLOR MARLEEY J,MARLEEY J TAYLOR,MGR,
"PALMWORKS LAWN AND POOL SERVICE, LLC",L26000466059,Florida Limited Liability Company,09/03/2026,Active,"848 TWIN OAKS LANE, WINTERHAVEN, FL 33880","848 TWIN OAKS LANE, WINTER HAVEN, FL 33880",WINTERHAVEN,FL,33880,CARTER LANDON J,LANDON J CARTER,AMBR,
C & E CLEAN PRO. INC,P26000044529,Domestic Profit Corporation,09/08/2026,Active,"351 N FRODENS RD, LAKE WALES, FL 33859","351 N FRODENS RD, LAKE WALES, FL 33859",LAKE WALES,FL,33859,ZUNIGA CINDY,CINDY ZUNIGA,P,
"STRATEGIC LAND AND PLANNING SOLUTIONS, LLC",L26000466139,Florida Limited Liability Company,09/03/2026,Active,"118 ST THOMAS DR, MULBERRY, FL 33860","118 ST THOMAS DR, MULBERRY, FL 33860",MULBERRY,FL,33860,HAYS THADO N,TERIKA HAYS,MGR,
R & S TECHNOLOGY SALES & INNOVATIONS   LLC,L26000466579,Florida Limited Liability Company,09/03/2026,Active,"984 HAROLD PASS, LAKE WALES, FL 33859","984 HAROLD PASS, LAKE WALES, FL 33859",LAKE WALES,FL,33859,SANDOVAL HEIDY JAMBR,HEIDY JAMBR SANDOVAL,AMBR,
"ROCKETSHIP VENTURES, LLC",L26000467239,Florida Limited Liability Company,09/04/2026,Active,"3945 WHITE IBIS RD, LAKELAND, FL 33811","3945 WHITE IBIS RD, LAKELAND, FL 33811",LAKELAND,FL,33811,OLIVEROS FLORANNA,ALEXANDER MARS,AMBR,
