business_name,document_number,entity_type,filing_date,status,principal_address,mailing_address,city,state,zip,registered_agent,officer_name,officer_title,fei_number
"SANTAS OF THE SUNSHINE STATE, INC.",N26000012243,DOMN,08/31/2026,Active,"915 PENNSYLVANIA AVENUE, LAKELAND, FL 33803","915 PENNSYLVANIA AVENUE, LAKELAND, FL 33803",LAKELAND,FL,33803,HANKE BRADLEY D,BRADLEY D HANKE,P,
"RAREWELL, LLC",L26000457433,Florida Limited Liability Company,08/30/2026,Active,"222 EAST EDGEWOOD DRIVE, LAKELAND, FL 33803","P.O. BOX 25205, LAKELAND, FL 33802",LAKELAND,FL,33803,PETTERSEN BRANDIN,BRANDIN PETTERSEN,MGR,
DANIELA NIETO LEON LLC,L26000457673,Florida Limited Liability Company,08/31/2026,Active,"1928 TAMARACK PASS, DAVENPORT, FL 33837","1928 TAMARACK PASS, DAVENPORT, FL 33837",DAVENPORT,FL,33837,LEON DANIELA NIETO,DANIELA LEON,AMBR,
ASERE QUE SAZON LLC,L26000458453,Florida Limited Liability Company,08/31/2026,Active,"6016 RIDGE DR, LAKELAND, FL 33813","6016 RIDGE DR, LAKELAND, FL 33813",LAKELAND,FL,33813,DIAZ MARTINEZ CHANEL,EDDY DIAZ CASTRO,AMBR,
"FJT APEX TRANSPORT, LLC",L26000458703,Florida Limited Liability Company,08/31/2026,Active,"4161 GIORGIO DR,, WINTER HAVEN, FL 33884","4161 GIORGIO DR,, WINTER HAVEN, FL 33884",WINTER HAVEN,FL,33884,TURIZO MUNOZ FRANCISCO J,FRANCISCO J TURIZO MUNOZ,AMBR,
MADE BY YAN CREATIONS LLC,L26000456984,Florida Limited Liability Company,08/30/2026,Active,"626 ARBOR GLEN CIRCLE, APT 202, LAKELAND, FL 33805","626 ARBOR GLEN CIRCLE, APT 202, LAKELAND, FL 33805",LAKELAND,FL,33805,SERRANO CRUZ YANIRA EMRS,YANIRA EMRS SERRANO CRUZ,AMBR,
MARY CLEANING SERVICES LLC,L26000457074,Florida Limited Liability Company,08/30/2026,Active,"3090 W WILLOW DR, MULBERRY, FL 33860","3090 W WILLOW DR, MULBERRY, FL 33860",MULBERRY,FL,33860,RENTERIA MARIBEL,,,
ROOTS OF FLORENCE VILLA INC.,N26000012244,DOMN,08/31/2026,Active,"0 BROXY CT, WINTER HAVEN, FL 33881","303 LAKE NELL CT, LUTZ, FL 33549",WINTER HAVEN,FL,33881,FENTON MARISSA,MARISSA FENTON,P,
POLK ALUMINUM & CONSTRUCTION LLC,L26000457164,Florida Limited Liability Company,08/30/2026,Active,"4200 CARROLL RD, AUBURNDALE, FL 33823","4200 CARROLL RD, AUBURNDALE, FL 33823",AUBURNDALE,FL,33823,PORN CASEY A,CASEY PORN,CEO,
IRONRIDGE INDUSTRIES LLC,L26000457274,Florida Limited Liability Company,08/31/2026,Active,"565 SEATTLE SLEW DR, DAVENPORT, FL 33837","565 SEATTLE SLEW DR, DAVENPORT, FL 33837",DAVENPORT,FL,33837,NEWMAN TAYLOR,BRITTANY BASLER,MGR,
TREJOS PAINTING LLC,L26000457414,Florida Limited Liability Company,09/07/2026,Active,"2937 7 IRON DR, LAKELAND, FL 33801","2937 7 IRON DR, LAKELAND, FL 33801",LAKELAND,FL,33801,TREJO MENDOZA ALDO,NANCY SALAZAR-TREJO,MGR,
KOUZAK LOGISTICS LLC,L26000457424,Florida Limited Liability Company,10/01/2026,Active,"762 WILDFLOWER RD, DAVENPORT, FL 33837","762 WILDFLOWER RD, DAVENPORT, FL 33837",DAVENPORT,FL,33837,SHEPHERD OMAR L,OMAR L SHEPHERD,AMBR,
VAELITH GROUP LLC,L26000457814,Florida Limited Liability Company,08/31/2026,Active,"897 WEDGEWOOD ST, LAKE WALES, FL 33859","897 WEDGEWOOD ST, LAKE WALES, FL 33859",LAKE WALES,FL,33859,CAESAR BRANDON,BRANDON CAESAR,MGR,
SADLER EQUIPMENT SOLUTIONS LLC,L26000457844,Florida Limited Liability Company,08/31/2026,Active,"1701 KINSMAN WAY, LAKELAND, FL 33809","1701 KINSMAN WAY, LAKELAND, FL 33809",LAKELAND,FL,33809,SADLER CHRISTOPHER,CHRISTOPHER SADLER,MGR,
"SHE MOVES FREELY, LLC",L26000458434,Florida Limited Liability Company,08/31/2026,Active,"832 ORLEANS DRIVE, EAGLE LAKE, FL 33839","832 ORLEANS DRIVE, EAGLE LAKE, FL 33839",EAGLE LAKE,FL,33839,BUS KELLY,KELLY M BUS,MGR,
PERFECSYS LLC,L26000459024,Florida Limited Liability Company,08/31/2026,Active,"947 CHRISTINA CHASE DRIVE, LAKELAND, FL 33813","947 CHRISTINA CHASE DRIVE, LAKELAND, FL 33813",LAKELAND,FL,33813,US TAX CONSULTING INC,RODRIGO CARLO BERSANETTI,AMBR,
FAITH & FORGE TRAINING ACADEMY LLC,L26000456685,Florida Limited Liability Company,09/01/2026,Active,"6091 WATERWOOD WAY, BARTOW, FL 33830","6091 WATERWOOD WAY, BARTOW, FL 33830",BARTOW,FL,33830,BARBER JOSHUA A,JOSHUA BARBER,AMBR,
POLK COUNTY GUTTERS COMPANY LLC,L26000456885,Florida Limited Liability Company,08/31/2026,Active,"122 E MAIN ST, #121, LAKELAND, FL, FL 33801","2770 ROOSEVELT BLVD, APT. 2603, CLEARWATER FL 33760","LAKELAND, FL",FL,33801,MICHAUD KEVIN,KEVIN MICHAUD,AMBR,
SOLUDRIK LLC,L26000457315,Florida Limited Liability Company,08/31/2026,Active,"1060 FORREST DR, BARTOW, FL 33830","1060 FORREST DR, BARTOW, FL 33830",BARTOW,FL,33830,JOSEPH JHONNY,CEDRIK LOUIS,MGR,
MINIMATICS LLC,L26000457975,Florida Limited Liability Company,08/31/2026,Active,"5228 1ST ST NW, LAKELAND, FL 33810","5228 1ST ST NW, LAKELAND, FL 33810",LAKELAND,FL,33810,GARSKE MATTHEW E,MATTHEW E GARSKE,MGR,
"HOUSE OF WOLFE HOLDINGS, LLC",L26000459065,Florida Limited Liability Company,09/01/2026,Active,"2549 SR 557, LAKE ALFRED, FL 33850","112 HEATHERBROOKE CIRCLE, OVIEDO, FL 32765",LAKE ALFRED,FL,33850,NEAL HOWARD,HOWARD F NEAL,MP,
HACK THE ROAD LOGISTICS LLC,L26000456776,Florida Limited Liability Company,08/31/2026,Active,"5801 ARLINGTON RIVER DR, LAKELAND, FL 33811","5801 ARLINGTON RIVER DR., LAKELAND, FL 33811",LAKELAND,FL,33811,JONES-LOPEZ STEPHANIE M,ANAMARIA LOPEZ,AMBR,
NONA AND YIAYIA'S BAKERY LLC,L26000457266,Florida Limited Liability Company,08/30/2026,Active,"1436 OAK MARSH STREET, DAVENPORT, FL 33837","1436 OAK MARSH STREET, DAVENPORT, FL 33837",DAVENPORT,FL,33837,MILLER DENNIS M,DONNA J IEROKOMOS,MGR,
UNIVERSAL IMPERIAL COMMERCE LLC,L26000458206,Florida Limited Liability Company,08/31/2026,Active,"427 SUNFISH DR, WINTER HAVEN, FL 33881","427 SUNFISH DR, WINTER HAVEN, FL 33881",WINTER HAVEN,FL,33881,BRIZUELA AGUERO YUSDELVY,YUSDELVY BRIZUELA AGUERO,MGRM,
FLOORS MART LLC,L26000458356,Florida Limited Liability Company,08/31/2026,Active,"205 S. DIXIE DR. #506, HAINES CITY, FL 33844","10448 SADIE BLAKE AVE, LAS VEGAS, NV 89166",HAINES CITY,FL,33844,DAVILA IVAN F,IVAN F DAVILA,CEO,
ALVA PREMIER CONSTRUCTION LLC,L26000458836,Florida Limited Liability Company,09/04/2026,Active,"302 STEEDLY AVENUE, LAKE WALES, FL 33853","302 STEEDLY AVENUE, LAKE WALES, FL 33853",LAKE WALES,FL,33853,DONE RIGHT BUSINESS SERVICES L L C,JAVIER ALVAREZ ROBLERO,AMBR,
"FRAGRANCE GUY, INC",P26000043647,Domestic Profit Corporation,08/31/2026,Active,"2030 GOLDEN MEADOW WAY, BARTOW, FL 33830","2030 GOLDEN MEADOW WAY, BARTOW, FL 33830",BARTOW,FL,33830,TROLLER MICHAEL JJR.,MICHAEL JJR. TROLLER,P,
WELDTRAINER TECHNOLOGIES L.L.C.,L26000457897,Florida Limited Liability Company,08/31/2026,Active,"6229 CEE LANE, LAKELAND, FL 33813","6229 CEE LANE, LAKELAND, FL 33813",LAKELAND,FL,33813,QUINN KIP,KIP QUINN,MGR,
MAGICAL MISFIT LLC,L26000457038,Florida Limited Liability Company,08/30/2026,Active,"1436 OAK MARSH ST, DAVENPORT, FL 33837","1436 OAK MARSH ST, DAVENPORT, FL 33837",DAVENPORT,FL,33837,MILLER DENNIS M,DONNA J IEROKOMOS,MGR,
DIAMOND CREATIONS & PARTY RENTAL INC.,P26000043698,Domestic Profit Corporation,08/31/2026,Active,"65 3RD ST NW, WINTER HVEN, FL 33881","65 3RD ST NW, WINTER HVEN, FL 33881",WINTER HVEN,FL,33881,OUTING TENEKE,TENEKE OUTING,"P,D",
"SCALES & STITCHES LEARNING CO., LLC",L26000457208,Florida Limited Liability Company,08/30/2026,Active,"5753 DAUGHTERY DOWNS LOOP, LAKELAND, FL, FL 33809","5753 DAUGHTERY DOWNS LOOP, LAKELAND, FL 33809","LAKELAND, FL",FL,33809,SOTOLONGO HEATHER,HEATHER SOTOLONGO,AR,
CDS EQUIPMENT AND SERVICES LLC,L26000457248,Florida Limited Liability Company,08/31/2026,Active,"1506 32ND ST NW, WINTER HAVEN, FL 33881","1506 32ND ST NW, WINTER HAVEN, FL 33881",WINTER HAVEN,FL,33881,CEDRES JOSE G,JOSE G CEDRES,MGR,
KEELEY TRANSPORTER L.L.C.,L26000457538,Florida Limited Liability Company,09/15/2026,Active,"1530 ROSA CT., BARTOW, FL 33830","1530 ROSA CT., BARTOW, FL 33830",BARTOW,FL,33830,KEELEY TINA,MIKE KEELEY,MGR,
"CAPITAL VENTURE HOLDINGS, INC.",P26000043778,Domestic Profit Corporation,09/01/2026,Active,"502 EAST MAIN ST, LAKELAND, FL 33801","502 EAST MAIN ST, LAKELAND, FL 33801",LAKELAND,FL,33801,HALLOCK JR DAVID D,BRETT CHAMBERLAIN,D,
FRANKENSTEIN MUSIC LLC,L26000458378,Florida Limited Liability Company,08/31/2026,Active,"1101 WEST COMMERCE AVENUE, HAINES CITY, FL 33844","1101 WEST COMMERCE AVENUE, HAINES CITY, FL 33844",HAINES CITY,FL,33844,ZENBUSINESS INC.,FRANCISCO AMEZAGA,AMBR,
FORNO CULINARY SERVICES LLC,L26000458578,Florida Limited Liability Company,08/31/2026,Active,"5090 APEX CIR, APT. 02101, DAVENPORT, FL 33837","5090 APEX CIR, APT. 02101, DAVENPORT, FL 33837",DAVENPORT,FL,33837,MONACELLI DOS SANTOSTIAGO HENRIQUE,TIAGO HENRIQUE MONACELLI DOS SANTOS,MGR,
LITTLE SPARROW GIFT BASKETS LLC,L26000456709,Florida Limited Liability Company,08/30/2026,Active,"2970 CAMDEN WAY, DAVENPORT, FL 33837","2970 CAMDEN WAY, DAVENPORT, FL 33837",DAVENPORT,FL,33837,WITT KELLY N,KELLY N WITT,AMBR,
AGAINST ALL ODDS TRUCKING LLC,L26000457049,Florida Limited Liability Company,08/30/2026,Active,"222 SANTA ROSA DR, WINTER HAVEN, FL 33884","222 SANTA ROSA DR, WINTER HAVEN, FL 33884",WINTER HAVEN,FL,33884,CADE WILLIAM G,NIKKIA B CADE,MGR,
DOS BANDERAS HOLDINGS LLC,L26000457499,Florida Limited Liability Company,08/30/2026,Active,"1139 RUBY ST., LAKELAND, FL 33815","1139 RUBY ST., LAKELAND, FL 33815",LAKELAND,FL,33815,RODRIGUEZ VANESSA,BENJAMIN QUILES,AMBR,
HAPPY HEARTS BRIGHT BEGINNINGS LLC,L26000459089,Florida Limited Liability Company,08/31/2026,Active,"5720 ROYAL HILLS CIRCLE, WINTER HAVEN, FL 33881","5720 ROYAL HILLS CIRCLE, WINTER HAVEN, FL 33881",WINTER HAVEN,FL,33881,LOUIS JULIETTE,JULIETTE LOUIS,MGR,
