Company,Likely main contact (name),Contact source,Phone,Website,Facebook page,Address,City,Zip,Google rating,Google reviews,DBPR license #,DBPR status,Sunbiz status,Sources found in,Notes
Mighty Dog Roofing of Central Florida,,unknown,(863) 766-2329,https://www.mightydogroofing.com/central-florida-fl/?utm_source=omg-gbp&utm_medium=webclick,https://www.facebook.com/MightyDogRoofingCentralFlorida/,"200 Orange Co Cir, Winter Haven, FL 33881",Winter Haven,33881,4.9,169,,,not found,Maps,Franchise business; could not locate a matching Sunbiz entity within search budget - likely registered under a different corporate/franchise LLC name. Public sources name the local owner only as 'Elliot' (last name not found).
Collis Roofing,Joyce Lanier (Vice President); Rinaldo J Cartaya Esq (Registered Agent),Sunbiz officer,(863) 682-5700,https://www.collisroofing.com/,https://www.facebook.com/collisroofinginc/,"2323 W Memorial Blvd, Lakeland, FL 33815",Lakeland,33815,4.5,147,,,not found,Maps,"Large multi-branch roofer headquartered near Longwood/Orlando; Sunbiz address on file is the corporate registered agent (Orlando), not the Lakeland branch at 2323 W Memorial Blvd. Current status not confirmed within search budget."
"STGO Pro4mance, LLC.",Emmanuel Santiago; Angel G. Santiago (both Managers),Sunbiz officer,(863) 343-3084,http://www.stgopro4mance.com/,https://www.facebook.com/stgopro4mance/,"121 Webb Dr #209, Davenport, FL 33837",Davenport,33837,5,147,,,ACTIVE,Maps+Sunbiz,"Entity doc# L20000314548, FEI 85-3149574. Address matches input exactly. Registered agent on file is a commercial service (Anderson Registered Agents, Inc.) - Santiago names are the actual managers/owners."
Trimm Roofing,"TRIMM, NATHANE",DBPR qualifier,(863) 276-6300,https://trimmroofing.com/,https://www.facebook.com/TrimmRoofing/,"2500 Drane Field Rd Ste 101, Lakeland, FL 33811",Lakeland,33811,4.8,146,CCC1335191,Active,ACTIVE,Maps+DBPR+Sunbiz,"Entity doc# L21000241242, FEI 87-0949808. Reinstated 10/12/2023. Address matches input."
"Feichtel Roofing, Inc","FEICHTEL, ANTHONY HOWARD JR",DBPR qualifier,(863) 220-5488,https://feichtelroofinginc.com/,https://www.facebook.com/p/Feichtel-Roofing-Inc-61551168235825/,"416 Pine Ave, Polk City, FL 33868",Polk City,33868,4.9,137,CCC1334969,Active,not found,Maps+DBPR,"Could not retrieve Sunbiz entity detail within search budget (sunbiz.org blocks direct page fetch). Anthony Howard Feichtel / Anthony Howard Feichtel Jr. are named per state contractor license board records, not confirmed via Sunbiz. DBPR contact already on file per brief."
Straight Forward Construction,,unknown,(863) 289-6654,https://straightforwardconstruction.com/?utm_source=google&utm_medium=business_profile&utm_campaign=website,https://www.facebook.com/straightforwardcon/,"305 Gandy Rd, Auburndale, FL 33823",Auburndale,33823,4.9,124,,,not found,Maps,Could not confirm matching Sunbiz entity within search budget. Conflicting public ownership info: BuildZoom lists owner as Jason M. Westfall; the company's own site credits founder Jacob Echeverri (USMC veteran) - flagging for manual verification.
Eustis Roofing Company,,unknown,(863) 340-7653,http://eustisroofing.com/?utm_source=gbp&utm_medium=organic&utm_campaign=clw-na-gbp-con-all-all-all-reglr-current-reglr-na-na-gpb_listing_lkl,https://www.facebook.com/EustisRoofingCompany/,"2500 Drane Field Rd Ste 103, Lakeland, FL 33811",Lakeland,33811,5,123,,,not found,Maps,"Confirmed as a Foreign LLC on Sunbiz ('Eustis Roofing Company, LLC') with a Lakeland address matching input, but officer/registered agent names and current status were not retrievable within search budget. Company HQ is in Tavares, FL; this is a branch location."
Taylor's Roofing,"MCRAE, REAMONN SCOTT",DBPR qualifier,(863) 676-2555,http://taylors-roofing.com/,https://www.facebook.com/TaylorsRoofing108/,"108 Dr JA Wiltshire Ave, Lake Wales, FL 33853",Lake Wales,33853,4.8,121,CCC1329989,Active,not found,Maps+DBPR,"Entity: Taylor's Roofing, LLC, doc# L17000235546. Address matches input. Current status (active/inactive) not explicitly confirmed within search budget, though managers were identified. DBPR contact already on file per brief."
Graham Aluminum & Home Improvement,Ashton Graham (Registered Agent and Manager),Sunbiz officer,(866) 863-4169,https://grahamaluminum.com/,https://www.facebook.com/p/Graham-Aluminum-100068398339799/,"2225 E Main St, Lakeland, FL 33801",Lakeland,33801,3.9,121,,,not found,Maps,Sunbiz registered-agent address (500 S Florida Ave) differs from the operating address in the brief (2225 E Main St) - likely the same company with a different mailing address on file. Status not confirmed within search budget. Public sources also cite owners Jack and Kelley Graham.
CH Evans Roofing,Charles H Evans Jr; Charles H Evans III (Manager Members),Sunbiz officer,(863) 220-7290,https://www.chevansroofingfl.com/roofing-company-winter-haven-fl/,https://www.facebook.com/p/CH-Evans-Roofing-100063786350038/,"5601 Cypress Gardens Rd, Winter Haven, FL 33884",Winter Haven,33884,4.9,118,,,not found,Maps,Address matches input exactly. Current status (active/inactive) not explicitly confirmed within search budget.
Priority Roofing,Will Miller; Micah McQueen,Sunbiz officer,(863) 701-4746,https://priorityroofs.com/location/lakeland/,https://www.facebook.com/p/Priority-Roofing-of-Lakeland-61562501354870/,"4460 Florida National Dr Suite 4460-2, Lakeland, FL 33813",Lakeland,33813,4.9,116,,,ACTIVE,Maps+Sunbiz,Sunbiz mailing address (Orlando) differs from given Lakeland location - likely HQ/mailing address for multi-branch roofer; entity is Priority Roofing of Lakeland LLC (L23000261540)
Elements Home Solutions Inc.,"VEGA MELENDEZ, VIVIANETTE",DBPR qualifier,(407) 946-1880,https://ehsflorida.com/,https://www.facebook.com/EHSFloridaRoofing/,"2127 S 30th St, Haines City, FL 33844",Haines City,33844,5,112,CCC1331885,Active,ACTIVE,Maps+DBPR+Sunbiz,
DBR Construction LLC,Brandon C Betts,Sunbiz officer,(863) 602-4200,http://dbrconstructionllc.com/?utm_source=gmb&utm_medium=referral,https://www.facebook.com/bestinpolk/,"1725 George Jenkins Blvd Ste B, Lakeland, FL 33815",Lakeland,33815,4.9,110,,,ACTIVE,Maps+Sunbiz,FB page handle (bestinpolk) differs from business name but address/phone/description confirmed match
American Roofing FL,"TORRES, JOHNATHAN W",DBPR qualifier,(863) 360-6804,https://www.americanroofingfl.com/,https://www.facebook.com/Americanroofingconstructionfl/,"415 20th St SW, Winter Haven, FL 33880",Winter Haven,33880,4.8,104,CCC1334393,Active,ACTIVE,Maps+DBPR+Sunbiz,"Entity name American Roofing FL LLC; already had DBPR contact per input, officer lookup skipped"
JDM Roof Restoration,,unknown,(863) 604-9387,https://jdmroofrestoration.com/,https://www.facebook.com/p/JDM-Roof-Restoration-100093665325771/,"103 Oak Square N, Lakeland, FL 33813",Lakeland,33813,5,94,,,not found,Maps,Not found on Sunbiz under this name after 2 tries - likely sole proprietorship/DBA; unrelated dissolved entity 'Roof Restore Inc' (1996-1998) is NOT a match
Robert Binns Roofing Inc.,"BINNS, ROBERT W",DBPR qualifier,(863) 576-4065,https://www.robertbinnsroofing.com/,https://www.facebook.com/p/Robert-Binns-Roofing-Inc-100063840173257/,"5918 E County Rd 542 W, Winter Haven, FL 33880",Winter Haven,33880,4.4,90,CCC1325548,Active,ACTIVE,Maps+DBPR+Sunbiz,
O'Neal's Roofing Co.,"O'NEAL, ALICE COURSON",DBPR qualifier,(863) 557-0288,http://www.onealsroofing.com/,https://www.facebook.com/onealsroofing/,"6950 Barbara Jean Ln, Polk City, FL 33868",Polk City,33868,4.9,90,CCC1334246,Active,ACTIVE,Maps+DBPR+Sunbiz,"Entity O'Neal's Roofing Co. of Lakeland Inc (S87117), reinstated 8/4/2022"
Affordable Roofing (LLC),Rafael M. Pereyra,Sunbiz officer,(863) 228-8232,https://affordableroofingllc.com/,https://www.facebook.com/affordableroofingllcfl/,"5387 Baker Dairy Rd, Haines City, FL 33844",Haines City,33844,5,87,,,ACTIVE,Maps+Sunbiz,
Solar Energy Specialist Corp,"BOUTHNER, TANESHA LASHAY",DBPR qualifier,(866) 407-2047,https://www.solarandenergyspecialists.com/?utm_source=google&utm_medium=gmb&utm_campaign=seo,https://www.facebook.com/solarenergyspecialistcorp/,"1130 1st St S, Winter Haven, FL 33880",Winter Haven,33880,4.8,86,CCC1335469,Active,ACTIVE,Maps+DBPR+Sunbiz,"Already had DBPR contact per input, officer lookup skipped"
Elite LLC,,unknown,(863) 651-5890,http://eliteinsulationcfl.com/,,"1631 Mann Rd, Lakeland, FL 33810",Lakeland,33810,4.9,85,,,not found,Maps,"Ambiguous - no Sunbiz entity named exactly 'Elite LLC' found; only 'Elite Insulation LLC' (L22000219458, ACTIVE) registered at the same address (1631 Mann Rd, Lakeland) - possible name mismatch, needs manual verification. No confirmed Facebook page found either."
America Top Roofing,Anahi Solares Baranda,Sunbiz officer,(863) 733-2171,https://americatoproofing.com/,https://www.facebook.com/americatoproofing/,"2420 N Crystal Lake Dr Ste 204, Lakeland, FL 33801",Lakeland,33801,5,84,,,ACTIVE,Maps+Sunbiz,"Sunbiz address (Crystal Hills Loop S) differs from provided address (2420 N Crystal Lake Dr Ste 204) - same zip, likely a suite/mailbox change; verify current"
Boral Roofing Lake Wales,,unknown,(863) 824-1289,,,"200 Story Rd, Lake Wales, FL 33898",Lake Wales,33898,3.7,82,,,not found,Maps,"This is a manufacturing plant/facility of Boral/Westlake Royal Roofing Solutions (large multinational building-products maker), not an independently Sunbiz-registered local roofing contractor - likely not a genuine outbound sales lead in the usual small-business sense"
Central Florida Exterior Inc.,"GIDDENS, DAVID FRANK",DBPR qualifier,(813) 478-9229,https://cfexterior.com/,https://www.facebook.com/cfexterior/,"1324 Olive St, Lakeland, FL 33815",Lakeland,33815,4.7,80,CCC1330652,Active,ACTIVE,Maps+DBPR+Sunbiz,"Already had DBPR contact per input, officer lookup skipped"
Pitch Perfect Roofing Systems,"PARKER, JERRY DUANE",DBPR qualifier,(863) 205-4664,http://www.pitchperfectroofer.com/,https://www.facebook.com/p/Pitch-Perfect-Roofing-Systems-61557371565592/,"120 S Woodlawn Ave, Bartow, FL 33830",Bartow,33830,4.9,70,CCC1335772,Active,ACTIVE,Maps+DBPR+Sunbiz,
"The Dantzler Group, Inc.",Joel A. Dantzler Jr. (President),Sunbiz officer,(863) 210-2803,https://dantzlergroup.com/,https://www.facebook.com/DantzlerGroup/,"332 Ave B SW 300 31, Winter Haven, FL 33880",Winter Haven,33880,4.8,68,,,ACTIVE,Maps+Sunbiz,"Entity P95000080030, filed 1995; admin dissolution was cancelled/reinstated in 2009, currently active. Multi-location company (Jacksonville + Winter Haven)"
Five Points Roofing,"RAY, ANGELA MASHELLE",DBPR qualifier,(863) 660-5834,https://fivepointsroofingfl.com/,https://www.facebook.com/p/Five-Points-Roofing-100089237822189/,"2587 Colonel Ford Dr, Lakeland, FL 33813",Lakeland,33813,5,64,CCC1333259,Active,not found,Maps+DBPR,No Sunbiz record surfaced in search results after 2 tries - not verified; possible sole proprietorship or DBA. Already had DBPR contact per input.
"Ring Roofing, Inc.",Curtis Scott Ring (Registered Agent),Sunbiz officer,(863) 337-5139,https://ringroofinginc.com/,,"1329 E Main St, Lakeland, FL 33801",Lakeland,33801,4.3,60,,,INACTIVE,Maps+Sunbiz,"Sunbiz shows voluntary dissolution filed 8/9/2024 - entity is now inactive/dissolved. Business listings (BBB, Yelp) still show it as operating; flag for verification before outreach. No Facebook page confirmed in 2 tries."
"Central Florida Roofing, LLC","KATROS, ANDREW F",DBPR qualifier,(863) 293-3696,http://www.centralfloridaroofingllc.com/,https://www.facebook.com/p/Central-Florida-Roofing-LLC-100057556355073/,"1027 Snively Ave, Winter Haven, FL 33880",Winter Haven,33880,4.5,59,CCC1325940,Active,ACTIVE,Maps+DBPR+Sunbiz,"Already had DBPR contact per input, officer lookup skipped"
"Budget Roofing Service, Inc.","WILLIAMS, CHRISTOPHER RYAN; WILLIAMS, GREGORY REUBEN",DBPR qualifier,(863) 967-6675,https://budgetroofingservice.com/,https://www.facebook.com/p/Budget-Roofing-Service-Inc-100063629109076/,"5011 Recker Hwy, Winter Haven, FL 33880",Winter Haven,33880,4.6,59,CCC1328257; CCC1330277,Active,ACTIVE,Maps+DBPR+Sunbiz,"Already had DBPR contact per input, officer lookup skipped"
Quick Roofing - Central FL,,unknown,(863) 201-6025,http://www.quickroofing.com/,,"2335 Commerce Point Dr #160, Lakeland, FL 33801",Lakeland,33801,4.5,59,,,not found,Maps,"Quick Roofing is a large multi-state franchise ('America's Trusted Roofer Since 1984', 30+ locations); could not confirm a distinct Sunbiz entity matching the given Commerce Point Dr address, nor a location-specific Facebook page, within search limits - flag for manual verification"
"JAM Construction & Development, Inc.","MENDOZA, RICHARD",DBPR qualifier,(800) 680-9785,https://www.builtbyjam.com/,https://www.facebook.com/builtbyjam/,"Lakeland, FL 33801",Lakeland,33810,4.9,55,CCC1331604,Active,ACTIVE,Maps+DBPR+Sunbiz,Sunbiz address (122 E Main St) differs from given address but same city/zip; officers are President/VP/Office Manager
Goff Roof Systems,"GOFF, MICHAEL RALPH",DBPR qualifier,(863) 680-1748,https://goffroofsystems.com/,https://www.facebook.com/GoffRoofSystems/,"1725 E Gary Rd, Lakeland, FL 33801",Lakeland,33801,4.6,54,CCC1329738,Active,ACTIVE,Maps+DBPR+Sunbiz,Sunbiz address differs from given business address (1725 E Gary Rd) - likely owner home address on file vs shop location; same city
Integrity Homes & Construction Inc.,"OWENS, CHRISTOPHER S; OWENS, SEAN",DBPR qualifier,(863) 551-1701,https://integrityhomesconstructionandroofing.com/,https://www.facebook.com/IntegrityHomesandConstruction/,"207 E Bridgers Ave, Auburndale, FL 33823",Auburndale,33823,4.5,53,CCC1329135; CCC1331139,Active,ACTIVE,Maps+DBPR+Sunbiz,Sunbiz address differs from given (207 E Bridgers Ave) but same city/zip
Ray's Roofing of Central Florida INC,Gary D Ray; Gary D Ray Jr,Sunbiz officer,(863) 967-3170,http://raysroofing.org/,https://www.facebook.com/p/Rays-Roofing-of-Central-Florida-INC-61577874846989/,"807 Braddock Rd, Auburndale, FL 33823",Auburndale,33823,4.2,49,,,ACTIVE,Maps+Sunbiz,"Exact address match; several similarly-named Ray's roofing FB pages exist, picked the one explicitly named '...INC'"
RK Roofing and Sheet Metal,"KILPATRICK, ROBERT LEVON",DBPR qualifier,(863) 875-2275,https://rkroofingfl.com/,https://www.facebook.com/p/RK-Roofing-Sheetmetal-LLC-100076152494487/,"5105 Recker Hwy, Winter Haven, FL 33880",Winter Haven,33880,4.5,44,CCC044024,Active,ACTIVE,Maps+DBPR+Sunbiz,"Exact address match; registered agent on file is a law firm (Spiegel & Utrera P.A.), used officer name instead"
Vortex Roofing Solutions,Jorge Perez; Mathew D Perez,Sunbiz officer,(407) 717-3104,http://www.vortexroofingsolutions.com/,https://www.facebook.com/vortexroofingsolutions/,"2062 Southern Breeze Dr unit 105, Davenport, FL 33897",Davenport,33897,4.9,44,,,ACTIVE,Maps+Sunbiz,Registered agent address matches given address exactly; Sunbiz principal address on file (Deltona) differs
One Stop Kitchen And Bath,,unknown,,http://www.onestopkitchenandbath.com/,,"112 Polo Park E Blvd, Davenport, FL 33897",Davenport,33897,4.9,44,,,not found,Maps,No matching Sunbiz corp/LLC entity found at this address after 2 searches - likely unregistered sole proprietor or fictitious-name filing; no confirmed Facebook page found either
QES services llc,Cheyenne C Hughes; Joshua Queen; Forest E Trumble,Sunbiz officer,(863) 326-0858,http://qesservices.com/,https://www.facebook.com/QueenExteriorSolutions/,"2050 Normandy Heights Dr, Winter Haven, FL 33880",Winter Haven,33880,5,43,,,ACTIVE,Maps+Sunbiz,Exact address match; also operates as 'Queen Exterior Solutions' per BBB/Facebook
JHI Roofing,Joshua Souza Medina; Ronielly Oliveira Silva,Sunbiz officer,(407) 928-4544,https://jhiroofing.com/,https://www.facebook.com/jhiroofing,"147 N Hampton Dr, Davenport, FL 33897",Davenport,33897,4.8,43,,,ACTIVE,Maps+Sunbiz,Exact address match
Statewide Roofing & Sheet Metal Inc.,Curtiss Dell James; William James; Kristi Wilson,Sunbiz officer,(863) 686-1451,http://www.swrflorida.com/,https://www.facebook.com/statewideroofing851/,"851 Plateau Ave, Lakeland, FL 33815",Lakeland,33815,4.8,42,,,ACTIVE,Maps+Sunbiz,"Exact address match; Sunbiz entity name on file is 'Statewide Roofing & Sheetmetal, Inc.' (one word), minor spelling variant"
West Orange Roofing,Roy Ritenour; Bobby Swindle Jr; Clarke Ryan,Sunbiz officer,(863) 965-8920,https://www.westorangeroofing.com/?UTM_source=GMB_listing&UTM_medium=organic,https://www.facebook.com/WestOrangeRoofing/,"926 Magnolia Ave, Auburndale, FL 33823",Auburndale,33823,4.6,42,,,ACTIVE,Maps+Sunbiz,"Ambiguous - multiple similar Sunbiz entities found (older Auburndale/Tavares Inc, now inactive; current active LLC HQ'd in Fort Myers as a multi-branch operator with an Auburndale service branch per company website). Used the current active LLC; sunbiz address is corporate HQ, not the local branch at the given address"
Greenstar Panels,Arthur P White,Sunbiz officer,(813) 860-8495,http://greenstarpanels.com/,https://www.facebook.com/greenstarpanels/,"1704 S Combee Rd, Lakeland, FL 33801",Lakeland,33801,4.2,42,,,ACTIVE,Maps+Sunbiz,Exact address match
Steel Roofing Systems,Steve Smith; Cathy D Smith,Sunbiz officer,(863) 701-7170,,,"3049 Drane Field Rd, Lakeland, FL 33811",Lakeland,33811,4.9,42,,,ACTIVE,Maps+Sunbiz,Exact address match; no confirmed Facebook business page found after 2 searches
Merritt Roofing and Construction Inc,"MERRITT, WAYNE WARREN",DBPR qualifier,(863) 967-5711,https://merrittroofingpolk.com/?utm_source=Google&utm_medium=Organic&utm_campaign=GBP,https://www.facebook.com/p/Merritt-Roofing-And-Construction-Inc-100090185311237/,"300 Lake George Rd, Lake Alfred, FL 33850",Lake Alfred,33850,3.8,41,CCC1326689,Active,ACTIVE,Maps+DBPR+Sunbiz,"Exact address match; Sunbiz entity name on file is 'Merritt Roofing, Inc.' (without 'and Construction') - same business confirmed by address/phone"
Mission Ready Roofing and Construction,Michael O'Sullivan; Randall Clark,Sunbiz officer,(863) 692-6278,https://www.missionrrc.com/,,"543 Ave K SE, Winter Haven, FL 33880",Winter Haven,33880,4.9,40,,,ACTIVE,Maps+Sunbiz,"Exact address match; LLC formed 2025 (active), supersedes an earlier now-inactive Inc at the same address; no confirmed own Facebook business page found after 2 searches (only a Chamber of Commerce welcome post tagging them)"
Mike Lombard & Son Roofing,"LOMBARD, MICHAEL GERARD",DBPR qualifier,(863) 289-5324,http://www.mlsroofs.com/,https://www.facebook.com/MLSroofs/,"Lakeland, FL 33805",Lakeland,33805,4.6,39,CCC042862,Active,not found,Maps+DBPR,No matching Sunbiz corp/LLC entity found under this name - likely a sole proprietorship not registered as corp/LLC; Facebook page confirmed via web search
Skyview Roofing Experts LLC,"SANCHEZ, KEVIN ADRIAN",DBPR qualifier,(863) 282-5107,https://www.skyviewroofingexperts.com/,https://www.facebook.com/p/Skyview-Roofing-Experts-61575704142678/,"221 6th St SW, Winter Haven, FL 33880",Winter Haven,33880,5,38,CCC1336563,Active,ACTIVE,Maps+DBPR+Sunbiz,"Sunbiz address is Eagle Lake (adjacent town to Winter Haven) rather than the given Winter Haven address, same immediate area"
American Roofing and Construction FL LLC,"BELLI, RANDY VAHIT",DBPR qualifier,(863) 965-2727,https://americanroofing.construction/winter-haven/,https://www.facebook.com/Americanroofingconstructionfl/,"2219 31st St NW Ste B, Winter Haven, FL 33881",Winter Haven,33881,4.9,38,CCC1337034,Active,ACTIVE,Maps+DBPR+Sunbiz,Exact address match
Springer Peterson Roofing,"BOATWRIGHT, DANIEL LEE; SPRINGER, ROBERT D",DBPR qualifier,(800) 244-1163,https://springerpeterson.com/,https://www.facebook.com/springerpeterson/,"4410 Maine Ave, Lakeland, FL 33801",Lakeland,33801,3.6,38,CCC037012; CCC1337047,Active,ACTIVE,Maps+DBPR+Sunbiz,"Exact address match; registered agent on file is Corporation Service Company (agent-service firm); news reports show an Atlanta-based roofing firm acquired the company, which explains the multiple corporate officers"
Green Alliance USA,Angelica Diaz,Sunbiz officer,(863) 576-5571,,https://www.facebook.com/GreenAllianceRS/,"223 Commonwealth Ave N, Polk City, FL 33868",Polk City,33868,4.7,38,,,INACTIVE,Maps+Sunbiz,Sunbiz shows entity INACTIVE (likely lapsed annual report) but business appears actively operating per Facebook/BBB/reviews at the given Polk City address; registered agent address on file (Ocoee) differs from the operating address
Lakeland Roofing Installation,,unknown,,,,"3823 Old Salem Rd, Lakeland, FL 33811",Lakeland,33811,4.9,37,,,,Maps,
Polk County Gutters Company,,unknown,(863) 343-2761,https://polkcountygutterscompany.com/,,"122 E Main St #121, Lakeland, FL 33801",Lakeland,33801,5,35,,,,Maps,
"WCM Construction & Roofing, LLC",,unknown,(863) 969-3722,https://www.warrencm.com/,,"35 Don Polston Dr suite b, Eagle Lake, FL 33839",Eagle Lake,33839,4.8,34,,,,Maps,
ROMEO'S ROOFING LLC,"WOOD, DERRELL DAVID",DBPR qualifier,(863) 593-7808,http://romeosroofing.com/,,"1815 Thornhill Rd Ste 309T, Auburndale, FL 33823",Auburndale,33823,4.6,34,RC29027518,Active,,Maps+DBPR,
Merritt Pressure Cleaning,,unknown,(863) 294-3151,https://merrittpressurecleaning.com/,,"1209 W Lake Buckeye Dr, Winter Haven, FL 33881",Winter Haven,33881,5,33,,,,Maps,
Eagle Building Contractors,,unknown,(863) 965-0804,http://eaglebuildingco.com/,,"16 Alabama Ln, Auburndale, FL 33823",Auburndale,33823,4.4,32,,,,Maps,
Protect Preserve Roofing,"ALMEIDA BRITO TERCEIRO, EDSON",DBPR qualifier,(833) 777-6634,https://protectpreserveroofing.com/roofing-company-lakeland/,,"559 Laura Rd, Lakeland, FL 33815",Lakeland,33815,5,31,CCC1331655,Active,,Maps+DBPR,
"Signature Roofing & Construction, Inc",,unknown,(863) 638-2555,https://www.sigroof.net/,,"249 Wilson Ave, Babson Park, FL 33827",Babson Park,33827,3.6,31,,,,Maps,
"Tyer's Roofing, Inc. Jr Tyer","TYER, KRISTEN NICOLE",DBPR qualifier,(863) 858-1141,http://tyersroofing.com/,,"11720 Bailey Rd, Kathleen, FL 33849",Kathleen,33849,4.8,31,CCC1336878,Active,,Maps+DBPR,
Providencia Roofing & Construction,"THIGPEN, BRITTANY LORRAINE",DBPR qualifier,(863) 304-1312,https://www.providenciaroofingconstruction.com/,,"120 W Central Ave Ste 13, Winter Haven, FL 33880",Winter Haven,33880,5,29,CCC1333497,Active,,Maps+DBPR,
W.D. Hutchinson Roofing LLC,,unknown,(863) 686-3300,,,"1717 W Memorial Blvd, Lakeland, FL 33815",Lakeland,33815,5,29,,,,Maps,
Coppertop Construction & Roofing,,unknown,(863) 537-1330,https://coppertopconstructionfl.com/,,"2718 S Combee Rd, Lakeland, FL 33803",Lakeland,33803,4.8,29,,,,Maps,
Zenith Construction Services LLC,"VEGA, IGNACIO T",DBPR qualifier,(863) 241-0855,http://roofingzenith.com/,,"602 Forest St, Frostproof, FL 33843",Frostproof,33843,5,29,CCC1332988,Active,,Maps+DBPR,
